Unnamed: 0,star_name,distance_l,distance_par,diameter,class,mag,mag_a,visual_lum,color,distance_type,log_diameter,B-V,star_temp
48,Cordoba Durchmusterung -24°263,93.1,28.6,1.81,V,+6.14,+3.86,2.49,B-V= +0.71,100,0.2576785748691845,0.71,5612.04
49,Bonner Durchmusterung +39°154,56.3,17.3,0.79,V,+7.36,+6.18,0.29,B-V= +0.94,60,-0.10237290870955855,0.94,5077.58
50,Cape Photographic Durchmusterung -60°46,83.1,25.5,1.53,V,+5.89,+3.86,2.48,B-V= +0.56,100,0.18469143081759878,0.56,6045.66
54,Beta Ceti,95.8,29.4,23.4,III,+2.04,-0.30,115,B-V= +1.01,100,1.3692158574101427,1.01,4938.87
56,Cordoba Durchmusterung -27°223,107.0,32.7,0.85,V,+7.79,+5.21,0.72,B-V= +0.67,120,-0.07058107428570727,0.67,5719.97
57,Cordoba Durchmusterung -22°239,90.8,27.8,1.12,V,+5.22,+3.00,5.49,B-V= +0.34,100,0.049218022670181646,0.34,6863.1
58,Bonner Durchmusterung +1°131,71.8,22.0,0.83,V,+8.03,+6.32,0.26,B-V= +1.00,80,-0.0809219076239261,1.0,4958.1
59,Cape Photographic Durchmusterung -66°53,71.3,21.9,0.92,V,+6.55,+4.85,1.00,B-V= +0.65,80,-0.03621217265444471,0.65,5775.91
62,Bonner Durchmusterung +4°123,24.33,7.46,0.882,V,+5.74,+6.38,0.245,B-V= +0.88,40,-0.054531414868180264,0.88,5204.53
63,64 Piscis,78.0,23.9,1.85,V,+5.08,+3.18,4.64,B-V= +0.51,80,0.2671717284030138,0.51,6209.73
64,van Maanen's Star,14.13,4.331,0.01,wd,+12.38,+14.20,0.000182,B-V= +0.55,20,-1.9999999999999996,0.55,6077.61
65,Cordoba Durchmusterung -23°315,61.4,18.8,0.83,V,+7.15,+5.78,0.42,B-V= +0.78,80,-0.0809219076239261,0.78,5434.86
66,Phi(2) Ceti,50.4,15.5,1.13,IV-V,+5.18,+4.24,1.76,B-V= +0.50,60,0.05307844348341968,0.5,6243.9
68,Bonner Durchmusterung +17°112 ,71.4,21.9,0.67,V,+9.23,+7.53,0.084,B-V= +1.21,80,-0.17392519729917352,1.21,4589.64
69,Bonner Durchmusterung +60°124,60.6,18.6,2.39,V,+4.80,+3.45,3.62,B-V= +0.53,80,0.3783979009481377,0.53,6142.78
70,Cordoba Durchmusterung -31°325 ,45.9,14.1,0.79,V,+7.15,+6.41,0.24,B-V= +0.93,60,-0.10237290870955855,0.93,5098.2
71,Bonner Durchmusterung +23°125,96.2,29.5,0.86,V?,+7.38,+5.03,0.85,B-V= +0.65,100,-0.06550154875643228,0.65,5775.91
76,Luyten 123-59,63.1,19.4,0.68,V,+9.50,+8.06,0.052,B-V= +1.30,80,-0.16749108729376364,1.3,4451.59
78,Bonner Durchmusterung +17°135 ,499.0,153.0,0.86,,+7.46,+1.54,21,B-V= +1.07,500,-0.06550154875643228,1.07,4827.25
90,Cordoba Durchmusterung -26°348 ,83.7,25.6,0.69,V,+9.78,+7.73,0.070,B-V= +1.19,100,-0.1611509092627447,1.19,4621.79
93,Cordoba Durchmusterung -51°273 ,96.0,29.4,0.75,V,+8.84,+6.50,0.22,B-V= +0.94,100,-0.12493873660829993,0.94,5077.58
96,Eta Ceti,118.0,36.1,21.3,III,+3.44,+0.66,47.6,B-V= +1.16,120,1.3283796034387376,1.16,4671.09
97,Cordoba Durchmusterung -31°455 ,151.0,46.4,0.75,V,+9.10,+5.77,0.43,B-V= +0.79,160,-0.12493873660829993,0.79,5410.68
98,Beta Andromedae,199.0,61.1,85.4,III,+2.05,-1.88,494,B-V= +1.57,200,1.9314578706890049,1.57,4092.82
103,Cape Photographic Durchmusterung -65°125,205.0,62.7,0.73,IV/V,+9.03,+5.04,0.84,B-V= +0.76,220,-0.13667713987954408,0.76,5484.05
104,Nu Phoenicis,49.1,15.05,1.327,V,+4.96,+4.07,2.050,B-V= +0.58,60,0.12287092286443549,0.58,5983.01
106,Bonner Durchmusterung -16°214 ,98.3,30.1,0.65,V,+9.75,+7.35,0.100,B-V= +1.00,100,-0.1870866433571444,1.0,4958.1
110,Bonner Durchmusterung +75°58,54.85,16.82,0.93,V,+7.15,+6.02,0.341,B-V= +0.82,60,-0.031517051446064856,0.82,5339.72
112,Bonner Durchmusterung +17°202 ,108.0,33.1,0.74,V?,+8.49,+5.89,0.38,B-V= +0.89,120,-0.1307682802690238,0.89,5182.82
119,Upsilon Andromedae,43.93,13.47,1.737,V,+4.09,+3.44,3.650,B-V= +0.54,60,0.23979981844709863,0.54,6109.98
120,Cordoba Durchmusterung -30°549 ,110.0,33.6,0.83,V,+8.13,+5.50,0.55,B-V= +0.86,120,-0.0809219076239261,0.86,5248.64
125,Bonner Durchmusterung +66°145 ,120.0,36.7,0.87,V,+7.70,+4.88,0.97,B-V= +0.68,140,-0.06048074738138147,0.68,5692.5
126,Bonner Durchmusterung +41°328 ,41.2,12.6,1.18,V,+4.96,+4.45,1.45,B-V= +0.62,60,0.07188200730612535,0.62,5862.44
127,Cordoba Durchmusterung -83°22,88.5,27.1,1.72,V,+5.87,+3.70,2.88,B-V= +0.61,100,0.2355284469075489,0.61,5892.01
129,107 Piscis,24.36,7.468,0.963,V,+5.24,+5.88,0.389,B-V= +0.84,40,-0.016373712875465497,0.84,5293.69
130,Bonner Durchmusterung +63°229 ,43.8,13.4,0.71,V,+8.42,+7.78,0.068,B-V= +1.22,60,-0.14874165128092473,1.22,4573.77
135,Tau Ceti,11.9,3.647,0.823,V,+3.50,+5.69,0.463,B-V= +0.72,20,-0.08460016478773018,0.72,5585.84
136,Bonner Durchmusterung +11°231 ,75.2,23.1,0.79,V,+8.91,+7.10,0.13,B-V= +1.05,80,-0.10237290870955855,1.05,4863.75
137,Bonner Durchmusterung +63°238 ,32.54,9.976,0.976,V,+5.63,+5.64,0.485,B-V= +0.81,40,-0.010550182333308194,0.81,5363.12
138,Cordoba Durchmusterung -27°605 ,126.0,38.8,0.71,V,+8.98,+6.04,0.34,B-V= +0.81,140,-0.14874165128092473,0.81,5363.12
140,Cordoba Durchmusterung -42°638,147.0,45.1,0.83,V,+7.13,+3.86,2.50,B-V= +0.65,160,-0.0809219076239261,0.65,5775.91
143,Alpha Trianguli,64.1,19.7,3.17,IV,+3.42,+1.95,14.5,B-V= +0.48,80,0.5010592622177514,0.48,6313.67
145,Cordoba Durchmusterung -23°693 ,36.2,11.1,0.73,V,+8.89,+8.67,0.030,B-V= +1.41,40,-0.13667713987954408,1.41,4296.24
146,Beta Arietis,59.6,18.3,2.36,V,+2.65,+1.34,25.4,B-V= +0.13,60,0.37291200297010657,0.13,7963.92
147,Cape Photographic Durchmusterung -60°167 ,64.3,19.7,0.74,V,+8.61,+7.14,0.12,B-V= +1.16,80,-0.1307682802690238,1.16,4671.09
148,Cape Photographic Durchmusterung -52°242,85.9,26.3,1.27,V,+6.10,+3.99,2.20,B-V= +0.48,100,0.10380372095595686,0.48,6313.67
151,Alpha Hydri,71.3,21.9,3.05,V,+2.86,+1.16,30.0,B-V= +0.28,80,0.4842998393467858,0.28,7137.66
156,Alpha Arietis,65.9,20.2,18.9,IIIab,+2.01,+0.48,56.0,B-V= +1.15,80,1.276461804173244,1.15,4687.82
159,Cordoba Durchmusterung -51°532 ,35.6,10.91,0.856,V,+6.12,+5.93,0.370,B-V= +0.82,40,-0.06752623532284678,0.82,5339.72
161,Eta Arietis,98.3,30.1,1.4,V,+5.25,+2.85,6.29,B-V= +0.43,100,0.14612803567823798,0.43,6496.95
162,Mu Fornacis,332.0,102.0,3.28,V,+5.27,+0.23,70.4,B-V= -0.02,340,0.515873843711679,1.0,4958.1
164,Bonner Durchmusterung +67°191 ,76.8,23.6,0.89,V,+7.23,+5.37,0.62,B-V= +0.90,80,-0.0506099933550872,0.9,5161.34
168,Delta Trianguli,35.38,10.85,0.98,V,+4.86,+4.69,1.161,B-V= +0.61,40,-0.00877392430750515,0.61,5892.01
169,Bonner Durchmusterung +55°570 ,80.0,24.0,0.8,V,+8.27,+6.33,0.3,B-V= +0.92,100,-0.09691001300805638,0.92,5119.03
170,Cordoba Durchmusterung -26°828 ,41.35,12.68,0.763,V,+6.34,+5.83,0.406,B-V= +0.73,60,-0.11747546204511951,0.73,5559.95
173,Cordoba Durchmusterung -31°943 ,100.0,30.8,0.77,V,+8.82,+6.38,0.25,B-V= +0.93,120,-0.11350927482751812,0.93,5098.2
175,Kappa Fornacis,71.5,21.9,1.81,V,+5.19,+3.49,3.51,B-V= +0.60,80,0.2576785748691845,0.6,5921.96
176,Delta Hydri,135.0,41.5,2.41,Vn,+4.08,+0.99,35.0,B-V= +0.03,140,0.38201704257486835,0.03,8666.13
177,Bonner Durchmusterung +5°336 ,91.0,27.9,0.81,V,+7.94,+5.71,0.45,B-V= +0.81,100,-0.09151498112135022,0.81,5363.12
180,Bonner Durchmusterung +1°438,476.0,146.0,38.0,III,+5.27,-0.56,145,B-V= +1.27,480,1.57978359661681,1.27,4496.45
185,CC Eridani,37.55,11.51,0.67,V,+9.05 (increasing to +8.65),+8.74 (increasing to +8.34),0.0277 (increasing to  0.0400),B-V= +1.39,40,-0.17392519729917352,1.39,4323.48
187,Bonner Durchmusterung -4°426 ,117.0,35.9,1.01,IV,+6.83,+4.05,2.08,B-V= +0.67,120,0.004321373782642578,0.67,5719.97
190,Bonner Durchmusterung -3°410 ,79.4,24.3,0.82,V,+8.10,+6.17,0.30,B-V= +0.95,80,-0.08618614761628333,0.95,5057.17
191,Lambda(2) Fornacis,83.3,25.5,2.06,IV,+5.78,+3.75,2.76,B-V= +0.65,100,0.3138672203691534,0.65,5775.91
192,Bonner Durchmusterung +30°421 ,117.0,35.9,0.91,V,+7.36,+4.58,1.28,B-V= +0.60,120,-0.040958607678906384,0.6,5921.96
199,12 Persei,80.5,24.7,2.65,V,+4.92,+2.95,5.73,B-V= +0.59,100,0.4232458739368078,0.59,5952.29
200,Bonner Durchmusterung +18°339 ,60.5,18.6,0.77,V,+8.27,+6.93,0.15,B-V= +1.07,80,-0.11350927482751812,1.07,4827.25
201,Iota Horologii,56.24,17.24,1.538,IV,+5.40,+4.22,1.791,B-V= +0.56,60,0.1869563354654122,0.56,6045.66
204,Mu Ceti,84.3,25.8,2.0,IV,+4.27,+2.21,11.4,B-V= +0.31,100,0.30102999566398114,0.31,6997.01
205,Tau(1) Eridani,45.6,14.0,1.28,V,+4.47,+3.74,2.78,B-V= +0.48,60,0.10720996964786836,0.48,6313.67
206,Bonner Durchmusterung +25°449 ,83.7,25.7,0.79,IV?,+7.85,+5.80,0.42,B-V= +0.84,100,-0.10237290870955855,0.84,5293.69
207,Bonner Durchmusterung +11°383 ,51.9,15.9,0.69,V,+8.59,+7.58,0.081,B-V= +1.28,60,-0.1611509092627447,1.28,4481.37
210,VY Arietis,143.0,44.0,0.9,,+6.77,+3.55,3.31,B-V= +0.96,160,-0.045757490560675115,0.96,5036.96
211,Bonner Durchmusterung +15°395 ,73.1,22.4,0.71,V,+8.91,+7.16,0.12,B-V= +1.20,80,-0.14874165128092473,1.2,4605.65
215,EP Eridani,33.86,10.38,0.915,V,+6.04,+5.96,0.360,B-V= +0.87,40,-0.038578905933551705,0.87,5226.47
218,Bonner Durchmusterung +13°476,142.0,43.4,0.73,,+9.05,+5.86,0.39,B-V= +0.81,160,-0.13667713987954408,0.81,5363.12
221,Epsilon Fornacis,99.0,30.4,2.48,IV,+5.88,+3.46,3.58,B-V= +0.79,100,0.39445168082621623,0.79,5410.68
222,Tau(3) Eridani,86.2,26.4,1.79,IV,+4.08,+1.97,14.2,B-V= +0.16,100,0.25285303097989315,0.16,7779.77
223,Bonner Durchmusterung -6°594 ,115.0,35.3,0.81,V,+8.08,+5.34,0.64,B-V= +0.67,120,-0.09151498112135022,0.67,5719.97
224,Bonner Durchmusterung +1°543 ,48.2,14.8,0.69,V,+9.07,+8.23,0.045,B-V= +1.38,60,-0.1611509092627447,1.38,4337.26
228,Iota Persei,34.36,10.53,1.472,V,+4.05,+3.94,2.321,"B-V= +0.60, U-B= +0.12",40,0.16790781000148003,0.6,5921.96
233,Bonner Durchmusterung +8°482 ,72.5,22.2,0.85,V,+7.83,+6.10,0.32,B-V= +0.86,80,-0.07058107428570727,0.86,5248.64
234,Cordoba Durchmusterung -26°1207 ,59.9,18.4,0.7,V,+9.17,+7.85,0.063,B-V= +1.24,60,-0.1549019599857432,1.24,4542.45
235,Bonner Durchmusterung -46°968,79.5,24.4,0.98,V,+6.76,+4.83,1.02,B-V= +0.58,80,-0.00877392430750515,0.58,5983.01
236,Bonner Durchmusterung +37°748 ,56.5,17.3,0.58,V,+10.29,+9.10,0.020,B-V= +1.48,60,-0.23657200643706275,1.48,4204.2
238,Zeta(1) Reticuli,39.53,12.12,0.912,V,+5.53,+5.11,0.786,B-V= +0.64,40,-0.0400051616715838,0.64,5804.4
239,Kappa Ceti,29.87,9.159,0.984,V,+4.83,+5.02,0.851,B-V= +0.68,40,-0.007004901568658488,0.68,5692.5
240,Zeta(2) Reticuli,39.4,12.08,0.987,V,+5.24,+4.83,1.020,B-V= +0.60,40,-0.005682847330363272,0.6,5921.96
241,82 Eridani,19.77,6.06,0.912,V,+4.26,+5.35,0.632,B-V= +0.71,20,-0.0400051616715838,0.71,5612.04
243,Bonner Durchmusterung -5°642 ,49.3,15.1,0.77,V,+7.86,+6.97,0.14,B-V= +1.16,60,-0.11350927482751812,1.16,4671.09
245,Cordoba Durchmusterung -31°1384,102.0,31.4,0.8,V,+7.88,+5.39,0.61,B-V= +0.71,120,-0.09691001300805638,0.71,5612.04
246,Bonner Durchmusterung -20°643 ,41.2,12.6,0.72,V,+8.39,+7.88,0.061,B-V= +1.33,60,-0.14266750356873154,1.33,4407.84
247,Cape Photographic Durchmusterung -63°231 ,53.4,16.4,0.75,V,+8.08,+7.01,0.14,B-V= +1.12,60,-0.12493873660829993,1.12,4738.91
250,Epsilon Eridani,10.5,3.218,0.865,V,+3.73,+6.19,0.292,"B-V= +0.88, U-B= +0.58, R-I= +0.30",20,-0.06298389253518578,0.88,5204.53
252,Cape Photographic Durchmusterung -48°376 ,43.6,13.4,0.68,V,+8.59,+7.96,0.057,B-V= +1.31,60,-0.16749108729376364,1.31,4436.89
254,10 Tauri,44.7,13.7,1.62,V,+4.29,+3.61,3.14,B-V= +0.57,60,0.20951501454263097,0.57,6014.13
260,Delta Eridani,29.5,9.043,2.721,IV,+3.53,+3.75,2.764,B-V= +0.92,40,0.4347285417797577,0.92,5119.03
261,Bonner Durchmusterung +45°805 ,86.8,26.6,0.78,V?,+7.72,+5.59,0.50,B-V= +0.86,100,-0.10790539730951958,0.86,5248.64
262,Bonner Durchmusterung +24°543 ,63.0,19.0,0.71,V?,+8.85,+7.41,0.09,B-V= +1.71,80,-0.14874165128092473,1.71,3933.41
265,Cordoba Durchmusterung -38°1264,52.9,16.2,0.84,V,+6.99,+5.94,0.37,B-V= +0.88,60,-0.07572071393811836,0.88,5204.53
267,Beta Reticuli,99.7,30.6,10.8,IV,+3.84,+1.41,23.8,B-V= +1.13,100,1.0334237554869496,1.13,4721.73
268,Bonner Durchmusterung +23°528 ,67.0,21.0,0.02,V,+8.38,+6.81,0.2,B-V= +0.29,80,-1.6989700043360185,0.29,7090.0
269,Tau(6) Eridani,58.5,17.9,1.71,V,+4.22,+2.95,5.73,B-V= +0.42,60,0.23299611039215382,0.42,6535.23
271,Cape Photographic Durchmusterung -65°272 ,138.0,42.3,0.85,V,+7.85,+4.72,1.13,B-V= +0.66,140,-0.07058107428570727,0.66,5747.77
272,vB 170 Hyades,132.0,40.0,0.67,V,+10.23,+7.20,0.1,B-V= +1.16,140,-0.17392519729917352,1.16,4671.09
276,Bonner Durchmusterung +60°762 ,69.5,21.3,0.83,V,+7.86,+6.22,0.28,B-V= +0.83,80,-0.0809219076239261,0.83,5316.58
281,Bonner Durchmusterung +75°154 ,52.1,16.0,0.78,V,+8.24,+7.22,0.11,B-V= +1.15,60,-0.10790539730951958,1.15,4687.82
286,Bonner Durchmusterung -0°632,62.7,19.2,1.24,V,+5.37,+3.95,2.29,B-V= +0.50,80,0.09342168516223506,0.5,6243.9
287,Bonner Durchmusterung -0°636 ,150.0,46.0,0.82,V?,+8.32,+5.01,0.86,B-V= +0.77,160,-0.08618614761628333,0.77,5459.32
288,39 Tauri,54.6,16.7,0.94,V,+5.90,+4.79,1.06,B-V= +0.62,60,-0.026872146400301365,0.62,5862.44
290,Cordoba Durchmusterung -27°1540,141.0,43.2,1.9,IV,+5.59,+2.41,9.44,"B-V= +0.32, U-B= +0.05",160,0.2787536009528289,0.32,6951.65
291,Bonner Durchmusterung +69°238,60.2,18.5,0.78,V,+7.71,+6.38,0.24,"B-V= +0.91, U-B= +0.77",80,-0.10790539730951958,0.91,5140.08
292,50 Persei,69.6,21.3,1.07,V,+5.52,+3.87,2.47,"B-V= +0.46, U-B= -0.03",80,0.029383777685209663,0.46,6385.41
293,Cape Photographic Durchmusterung -64°305,75.6,23.2,1.2,V,+6.37,+4.55,1.32,"B-V= +0.64, U-B= +0.10, R-I= +0.22",80,0.0791812460476248,0.64,5804.4
297,Bonner Durchmusterung +58°724,91.1,27.9,0.77,V,+8.67,+6.44,0.23,"B-V= +1.00, U-B= +0.84",100,-0.11350927482751812,1.0,4958.1
298,Bonner Durchmusterung +2°665,109.0,33.3,0.74,V,+8.78,+6.17,0.30,"B-V= +0.97, U-B= +0.78, R-I= +0.47",120,-0.1307682802690238,0.97,5016.95
301,Cape Photographic Durchmusterung -53°672,42.66,13.08,0.76,V,+7.64,+7.06,0.131,"B-V= +1.13, U-B= +1.06, R-I= +0.42",60,-0.11918640771920865,1.13,4721.73
302,Gamma Doradus,66.2,20.3,1.94,III,+4.25,+2.71,7.17,"B-V= +0.30, U-B= +0.02, R-I= +0.18",80,0.287801729930226,0.3,7043.12
303,Epsilon Reticuli,59.48,18.23,4.566,IV,+4.44,+3.13,4.860,"B-V= +1.07, U-B= +1.08, R-I= +0.37",60,0.6595359071542164,1.07,4827.25
311,Bonner Durchmusterung +21°652,37.4,11.5,0.71,V,+8.72,+8.42,0.037,"B-V= +1.35, U-B= +1.22, R-I= +0.62",40,-0.14874165128092473,1.35,4379.27
313,Bonner Durchmusterung +15°637,145.0,44.4,2.86,IV,+4.78,+1.54,21.0,"B-V= +0.17, U-B= +0.13",160,0.45636603312904295,0.17,7720.72
315,Bonner Durchmusterung +5°678,87.4,26.8,0.83,V,+7.92,+5.78,0.42,"B-V= +0.79, U-B= +0.35",100,-0.0809219076239261,0.79,5410.68
317,Bonner Durchmusterung +55°900,95.3,29.2,0.75,V,+8.34,+6.01,0.34,"B-V= +0.90, U-B= +0.67",100,-0.12493873660829993,0.9,5161.34
320,Bonner Durchmusterung +52°857,33.2,10.2,0.67,V,+8.62,+8.58,0.032,"B-V= +1.40, U-B= +1.14, R-I= +0.65",40,-0.17392519729917352,1.4,4309.81
323,Bonner Durchmusterung +20°802,44.0,13.5,0.72,V,+8.00,+7.35,0.10,"B-V= +1.10, U-B= +0.91, R-I= +0.49",60,-0.14266750356873154,1.1,4773.76
325,Beta Caeli,90.2,27.7,2.17,V,+5.04,+2.83,6.44,"B-V= +0.38, U-B= +0.02, R-I= +0.22",100,0.33645973384852945,0.38,6694.15
326,Bonner Durchmusterung +27°688,72.9,22.4,0.82,V,+8.00,+6.26,0.27,"B-V= +0.90, U-B= +0.63",80,-0.08618614761628333,0.9,5161.34
328,Cordoba Durchmusterung -50°1492,66.7,20.4,0.86,V,+7.58,+6.03,0.34,"B-V= +0.89, U-B= +0.57, R-I= +0.29",80,-0.06550154875643228,0.89,5182.82
329,58 Eridani,43.4,13.3,0.66,V,+5.49,+4.87,0.98,"B-V= +0.63, U-B= +0.13, R-I= +0.22",60,-0.18045606445813128,0.63,5833.24
331,Pi(3) Orionis,26.18,8.026,1.725,V,+3.19,+3.66,2.980,"B-V= +0.45, U-B= -0.01, R-I= +0.16",40,0.2367890994092929,0.45,6422.06
332,Bonner Durchmusterung +45°992,97.5,29.9,0.95,V,+6.98,+4.60,1.26,"B-V= +0.58, U-B= +0.04, R-I= +0.23",100,-0.02227639471115225,0.58,5983.01
341,Bonner Durchmusterung -5°1123,28.75,8.814,1.165,V,+6.23,+6.51,0.218,"B-V= +1.06, U-B= +1.02, R-I= +0.36",40,0.0663259253620378,1.06,4845.41
346,Eta(1) Pictoris,85.4,26.2,1.06,V,+5.37,+3.28,4.24,"B-V= +0.43, U-B= -0.01, R-I= +0.24",100,0.025305865264770258,0.43,6496.95
350,Zeta Doradus,38.0,11.65,1.064,V,+4.71,+4.38,1.549,"B-V= +0.52, U-B= -0.04, R-I= +0.20",40,0.0269416279590294,0.52,6176.03
353,Beta Eridani,88.8,27.2,3.25,III,+2.78,+0.61,49.8,"B-V= +0.13, U-B= +0.10, R-I= -0.01",100,0.5118833609788743,0.13,7963.92
354,68 Eridani,81.6,25.0,1.67,V,+5.11,+3.12,4.91,"B-V= +0.44, U-B= -0.05, R-I= +0.26",100,0.22271647114758325,0.44,6459.23
356,Cordoba Durchmusterung -44°1905,183.0,56.0,0.79,IV/V,+8.71,+4.97,0.89,"B-V= +0.77, U-B= +1.88, R-I= +0.82",200,-0.10237290870955855,0.77,5459.32
357,Kapteyn's Star,12.78,3.918,0.291,V,+8.86,+10.89,0.00383,"B-V= +1.55, U-B= +1.21, R-I= +0.79",20,-0.5361070110140927,1.55,4116.93
360,Bonner Durchmusterung -15°978,103.0,31.5,0.81,V,+7.43,+4.94,0.92,"B-V= +0.73, U-B= +0.27, R-I= +0.36",120,-0.09151498112135022,0.73,5559.95
361,Bonner Durchmusterung +79°169,68.4,21.0,1.09,V,+5.08,+3.47,3.56,"B-V= +0.47, U-B= -0.13",80,0.037426497940623665,0.47,6349.29
362,Lambda Aurigae,41.2,12.6,1.9,IV-V,+4.71,+4.20,1.83,"B-V= +0.63, U-B= +0.12, R-I= +0.20",60,0.2787536009528289,0.63,5833.24
363,Bonner Durchmusterung -18°1051,81.3,24.9,0.96,V,+5.96,+3.97,2.24,"B-V= +0.57, U-B= +0.07, R-I= +0.21",100,-0.017728766960431602,0.57,6014.13
367,Bonner Durchmusterung +17°917,46.8,14.3,0.78,V,+7.95,+7.17,0.12,"B-V= +1.09, U-B= +1.00, R-I= +0.44",60,-0.10790539730951958,1.09,4791.42
368,111 Tauri,47.8,14.7,1.18,V,+4.99,+4.16,1.89,"B-V= +0.53, U-B= -0.06",60,0.07188200730612535,0.53,6142.78
372,Bonner Durchmusterung -3°1110,42.3,13.0,0.77,V,+7.64,+7.07,0.13,"B-V= +1.10, U-B= +1.06, R-I= +0.43",60,-0.11350927482751812,1.1,4773.76
373,Cape Photographic Durchmusterung -60°424,63.8,19.6,0.92,V,+6.99,+5.53,0.53,"B-V= +0.77, U-B= +0.31, R-I= +0.26",80,-0.03621217265444471,0.77,5459.32
374,Cape Photographic Durchmusterung -75°314,116.0,35.5,0.92,V,+7.17,+4.42,1.49,"B-V= +0.54, U-B= +0.01",120,-0.03621217265444471,0.54,6109.98
375,Bonner Durchmusterung -3°1123,18.56,5.691,0.703,V,+7.97,+9.19,0.0184,"B-V= +1.47, U-B= +1.21, R-I= +0.85",20,-0.15304467498017604,1.47,4217.05
383,Luyten 132-6,106.0,32.4,0.73,V,+9.33,+6.77,0.17,"B-V= +1.13, U-B= +1.07, R-I= +0.43",120,-0.13667713987954408,1.13,4721.73
384,Nu(2) Columbae,139.0,42.5,2.69,V,+5.28,+2.13,12.2,"B-V= +0.46, U-B= +0.10, R-I= +0.26",140,0.42975228000240795,0.46,6385.41
385,49 Orionis,154.0,47.1,2.23,IV,+4.79,+1.43,23.4,"B-V= +0.14, U-B= +0.11",160,0.34830486304816066,0.14,7901.33
387,Bonner Durchmusterung +53°934,39.9,12.2,0.84,V,+6.23,+5.79,0.42,"B-V= +0.84, U-B= +0.51, R-I= +0.29",40,-0.07572071393811836,0.84,5293.69
390,Ross 47,18.9,5.79,0.17,V,+11.56,+12.75,0.00069,"B-V= +1.68, U-B= +1.20, R-I= +1.27",20,-0.769551078621726,1.68,3966.26
392,Pi Mensae,59.39,18.21,1.448,V,+5.65,+4.35,1.585,"B-V= +0.60, U-B= +0.11, R-I= +0.19",60,0.1607685618611281,0.6,5921.96
394,Bonner Durchmusterung +37°1312,67.1,20.6,0.8,V,+7.36,+5.80,0.42,"B-V= +0.83, U-B= +0.51",80,-0.09691001300805638,0.83,5316.58
395,Zeta Leporis,70.2,21.5,1.73,V,+3.55,+1.88,15.4,"B-V= +0.10, U-B= +0.07, R-I= -0.05",80,0.2380461031287954,0.1,8159.36
396,Cape Photographic Durchmusterung -70°447,83.5,25.6,0.81,V,+8.09,+6.05,0.33,"B-V= +0.76, U-B= +0.27, R-I= +0.28",100,-0.09151498112135022,0.76,5484.05
399,Beta Pictoris,62.88,19.28,1.399,V,+3.85,+2.42,9.337,"B-V= +0.17, U-B= +0.09, R-I= +0.09",80,0.14581771449182762,0.17,7720.72
403,Bonner Durchmusterung +2°1085,86.8,26.6,0.7,V,+8.84,+6.71,0.18,"B-V= +1.02, U-B= +0.90, R-I= +0.38",100,-0.1549019599857432,1.02,4919.82
405,Bonner Durchmusterung +13°1036,91.3,28.0,0.98,IV?,+6.60,+4.37,1.56,"B-V= +0.65, U-B= +0.13, R-I= +0.22",100,-0.00877392430750515,0.65,5775.91
406,Cape Photographic Durchmusterung -63°498,88.9,27.3,7.42,III/IV,+4.65,+2.47,8.95,"B-V= +1.05, U-B= +0.96, R-I= +0.36",100,0.870403905279027,1.05,4863.75
408,Eta Leporis,49.1,15.0,1.27,III,+3.71,+2.83,6.45,"B-V= +0.33, U-B= +0.01, R-I= +0.20",60,0.10380372095595686,0.33,6907.02
409,Beta Aurigae,82.1,25.2,2.92,IV,+1.90,-0.10,96.0,"B-V= +0.03, U-B= +0.05",100,0.46538285144841823,0.03,8666.13
410,Cordoba Durchmusterung -37°2534,168.0,51.5,0.77,V,+8.59,+5.03,0.84,"B-V= +0.63, U-B= +0.05, R-I= +0.34",180,-0.11350927482751812,0.63,5833.24
413,Bonner Durchmusterung +35°1334,86.1,26.4,1.03,V,+6.11,+4.00,2.18,"B-V= +0.60, U-B= +0.06",100,0.012837224705172215,0.6,5921.96
414,Cordoba Durchmusterung -45°2300,87.1,26.7,1.01,IV-V,+6.35,+4.22,1.79,"B-V= +0.52, U-B= +0.00",100,0.004321373782642578,0.52,6176.03
415,Bonner Durchmusterung +15°1065,50.4,15.5,0.86,V,+6.78,+5.83,0.40,"B-V= +0.81, U-B= +0.42, R-I= +0.26",60,-0.06550154875643228,0.81,5363.12
416,Cape Photographic Durchmusterung -59°584,89.3,27.4,0.81,V,+8.45,+6.27,0.27,"B-V= +0.85, U-B= +0.45, R-I= +0.29",100,-0.09151498112135022,0.85,5271.04
417,Gliese 229,18.83,5.774,0.527,V,+8.15,+9.34,0.0160,"B-V= +1.50, U-B= +1.23, R-I= +0.82",20,-0.27818938478745336,1.5,4178.8
420,Cordoba Durchmusterung -41°2266,126.0,38.6,0.73,V,+9.31,+6.38,0.24,"B-V= +0.95, U-B= +0.68, R-I= +0.35",140,-0.13667713987954408,0.95,5057.17
421,Bonner Durchmusterung +70°395,83.9,25.7,0.88,V,+7.44,+5.39,0.61,"B-V= +0.77, U-B= +0.37",100,-0.05551732784983136,0.77,5459.32
422,Bonner Durchmusterung +10°1050,59.1,18.1,1.01,V,+6.44,+5.15,0.76,"B-V= +0.67, U-B= +0.15, R-I= +0.22",60,0.004321373782642578,0.67,5719.97
424,Alpha Mensae,33.1,10.15,0.982,V,+5.08,+5.05,0.833,"B-V= +0.72, U-B= +0.33, R-I= +0.23",40,-0.007888512213050338,0.72,5585.84
