star_name,distance_l,distance_par,diameter,class,mag,mag_a,visual_lum,color
Cordoba Durchmusterung -40°3981,155,47.7,0.73,IV-V,+9.39,+6.00,0.35,"B-V= +0.82, U-B= +0.43, R-I= +0.41"
Bonner Durchmusterung +10°1756,41,12,,V-VI,+7.40,+6.92,0.1,
Ross 620,59.8,18.3,,V,+8.82,+7.50,0.087,"B-V= +1.20, U-B= +1.13"
Bonner Durchmusterung +31°1781,73.6,22.6,,V,+8.85,+7.09,0.13,"B-V= +1.14, U-B= +1.11, R-I= +0.42"
Bonner Durchmusterung -12°2449,41.04,12.58,0.960,V,+5.96,+5.47,0.567,"B-V= +0.76, U-B= +0.32, R-I= +0.26"
Bonner Durchmusterung -14°2469,111,34.1,,V,+9.84,+7.18,0.12,"B-V= +1.13, U-B= +1.09, R-I= +0.48"
Cordoba Durchmusterung -36°4449,93.0,28.5,1.78,III,+4.44,+2.16,11.9,"B-V= +0.22, U-B= +0.11"
Chi Cancri,59.1,18.1,1.23,V,+5.13,+3.83,2.55,"B-V= +0.47, U-B= -0.06"
Bonner Durchmusterung +14°1876,76.5,23.4,,V,+9.78,+7.93,0.058,"B-V= +1.29, U-B= +1.21, R-I= +0.55"
Cordoba Durchmusterung -39°4247,93.8,28.8,0.84,V,+7.17,+4.88,0.98,"B-V= +0.71, U-B= +0.29, R-I= +0.35"
Bonner Durchmusterung +32°1724,60.4,18.5,,V,+8.13,+6.79,0.17,
Alpha Chamaeleontis,63.46,19.46,2.091,IV,+4.06,+2.62,7.815,"B-V= +0.40, U-B= -0.02, R-I= +0.24"
Bonner Durchmusterung +22°1921,88.1,27.0,,V,+9.52,+7.36,0.099,"B-V= +1.18, U-B= +1.12, R-I= +0.48"
Luyten Palomar 35-347,40.8,12.5,,V,+15.67,+15.18,0.000074,B-V= +2.09
Bonner Durchmusterung +33°1694,135,41.4,,V,+10.10,+7.02,0.14,"B-V= +1.06, U-B= +0.86, R-I= +0.42"
1 Hydrae,88.8,27.2,1.04,V,+5.61,+3.43,3.69,"B-V= +0.46, U-B= -0.06, R-I= +0.28"
Cordoba Durchmusterung -29°6145,127,38.9,0.81,V,+7.80,+4.85,1.00,"B-V= +0.67, U-B= +0.17, R-I= +0.27"
Bonner Durchmusterung +46°1398,71.1,21.8,0.99,V,+6.33,+4.64,1.21,"B-V= +0.62, U-B= +0.12"
Beta Volantis,108,33.1,13.9,III,+3.77,+1.17,29.8,"B-V= +1.13, U-B= +1.14"
Catalogue Astrographique +62°18836,62.3,19.1,,V,+10.33,+8.92,0.023,"B-V= +1.37, U-B= +1.17, R-I= +0.65"
DX Cancri,11.8,3.63,0.11,V,+14.81,+17.01,0.000014,"B-V= +2.06, U-B= +2.11, R-I= +1.94"
Eggen/Greenstein white dwarf 249,71.8,22.0,,wd,+15.72,+14.01,0.00022,"B-V= +0.30, U-B= -0.54"
Cordoba Durchmusterung -31°6229,39.70,12.17,0.837,V,+6.38,+5.95,0.362,"B-V= +0.78, U-B= +0.32, R-I= +0.28"
Bonner Durchmusterung -22°2317,101,31.0,0.93,IV,+7.21,+4.75,1.10,"B-V= +0.74, U-B= +0.38"
Bonner Durchmusterung +67°552,45.3,13.9,,V,+9.28,+8.57,0.033,"B-V= +1.42, U-B= +1.23, R-I= +0.71"
Bonner Durchmusterung -0°2024,71.0,21.8,,V,+7.33,+5.64,0.48,
Pi(1) Ursae Majoris,46.5,14.3,0.97,V,+5.63,+4.86,0.99,"B-V= +0.62, U-B= +0.07, R-I= +0.21"
Bonner Durchmusterung -6°2664,77.1,23.6,0.97,V,+6.75,+4.88,0.97,"B-V= +0.66, U-B= +0.19"
Cordoba Durchmusterung -39°4574,89.6,27.5,1.42,IV-V,+6.53,+4.34,1.60,"B-V= +0.60, U-B= +0.12, R-I= +0.20"
Bonner Durchmusterung +12°1888,60.4,18.5,0.83,V,+7.63,+6.29,0.27,"B-V= +0.82, U-B= +0.46, R-I= +0.31"
Wolf 318,101,31.0,,V,+9.34,+6.89,0.15,"B-V= +1.08, U-B= +0.96, R-I= +0.40"
Bonner Durchmusterung -5°2603,100.0,30.6,,V,+9.90,+7.47,0.090,"B-V= +1.39, U-B= +1.22, R-I= +0.62"
Cordoba Durchmusterung -32°5613,29.0,8.90,,wd,+11.88,+12.13,0.0012,"B-V= +0.22, U-B= -0.59, R-I= +0.04"
Cordoba Durchmusterung -38°4789,36.33,11.14,0.81,V,+6.56,+6.33,0.257,"B-V= +0.93, U-B= +0.66, R-I= +0.30"
Bonner Durchmusterung +42°1922,84.8,26.0,0.72,V,+8.52,+6.45,0.23,"B-V= +0.94, U-B= +0.73, R-I= +0.35"
Cordoba Durchmusterung -42°4569,229,70.1,10.8,III,+4.02,-0.21,106,"B-V= +0.87, U-B= +0.52"
Cordoba Durchmusterung -42°4577,90.5,27.7,0.88,V,+7.21,+4.99,0.88,"B-V= +0.74, U-B= +0.29, R-I= +0.23"
Bonner Durchmusterung +66°582,53.8,16.5,,V,+9.26,+8.18,0.047,"B-V= +1.34, U-B= +1.22, R-I= +0.57"
Bonner Durchmusterung +35°1880,76,23,,V?,+7.60,+5.77,0.4,
Bonner Durchmusterung +35°1890,84.3,25.9,,V,+9.27,+7.20,0.11,"B-V= +1.14, U-B= +1.10, R-I= +0.48"
Bonner Durchmusterung -4°2490,55.8,17.1,0.88,V,+6.00,+4.84,1.01,"B-V= +0.67, U-B= +0.21, R-I= +0.21"
Bonner Durchmusterung +2°2098,65.3,20.0,,V,+9.99,+8.48,0.035,"B-V= +1.40, U-B= +1.23, R-I= +0.68"
Cordoba Durchmusterung -23°7884,102,31.1,0.71,III,+8.66,+6.19,0.29,"B-V= +1.00, U-B= +0.86, R-I= +0.44"
Cape Photographic Durchmusterung -54°1925,78.8,24.1,,V,+5.71,+3.79,2.65,"B-V= +0.48, U-B= +0.00"
Bonner Durchmusterung +12°1944,53.5,16.4,,V,+10.60,+9.53,0.013,"B-V= +1.53, U-B= +1.21, R-I= +0.84"
Bonner Durchmusterung +21°1949,67.2,20.6,,V,+9.25,+7.68,0.074,"B-V= +1.11, U-B= +1.01, R-I= +0.48"
Eggen/Greenstein white dwarf 182,66.3,20.3,,wd,+15.18,+13.64,0.00030,"B-V= +0.01, U-B= -0.92"
Bonner Durchmusterung -15°2656,69.5,21.3,,V,+5.82,+4.17,1.87,"B-V= +0.53, U-B= +0.08, R-I= +0.23"
TY Pyxidis,182,55.8,1.68,V,+6.95 (increasing to +6.75),+3.22 (increasing to +3.02),4.51 (increasing to  5.42),"B-V= +0.69, U-B= +0.26"
Cape Photographic Durchmusterung -58°1327,85.4,26.2,1.08,V,+5.16,+3.07,5.17,"B-V= +0.42, U-B= -0.02"
Eggen/Greenstein white dwarf 349,80,24,,wd,+16.97,+15.03,0.00008,
Alpha Volantis,124,38.1,2.62,V,+4.00,+1.09,31.8,"B-V= +0.14, U-B= +0.13, R-I= +0.07"
Bonner Durchmusterung -8°2582,47.4,14.5,,V,+9.50,+8.69,0.029,"B-V= +1.42, U-B= +1.26, R-I= +0.68"
15 Ursae Majoris,95.6,29.3,3.15,,+4.48,+2.15,12.1,"B-V= +0.27, U-B= +0.12"
Bonner Durchmusterung +73°447,113,34.5,,V,+10.13,+7.44,0.092,"B-V= +1.26, U-B= +1.28"
Bonner Durchmusterung +34°1949,62.4,19.1,,V,+5.96,+4.55,1.32,"B-V= +0.60, U-B= +0.04"
75 Cancri,102,31.3,1.05,IV,+5.97,+3.49,3.49,"B-V= +0.65, U-B= +0.20, R-I= +0.23"
Bonner Durchmusterung -10°2754,135,41.5,,,+7.15,+4.06,2.06,"B-V= +0.61, U-B= +1.68"
Bonner Durchmusterung +33°1814,69.0,21.2,,V,+9.96,+8.33,0.041,"B-V= +1.39, U-B= +1.23, R-I= +0.71"
Steph 753,74,23,,V,+8.38,+6.60,0.2,"B-V= +1.01, U-B= +0.91, R-I= +0.35"
Catalogue Astrographique +47°2368-79,81.8,25.1,,V,+10.94,+8.95,0.023,"B-V= +1.44, R-I= +0.77"
Bonner Durchmusterung +49°1815,120,36.8,,,+7.63,+4.81,1.04,
c Ursae Majoris,63.8,19.6,1.57,V,+5.17,+3.71,2.86,"B-V= +0.58, U-B= +0.10"
Eggen/Greenstein white dwarf 250,33.7,10.3,,wd,+13.85,+13.78,0.00027,"B-V= +0.34, U-B= -0.52"
18 Ursae Majoris,118,36.3,2.34,V,+4.82,+2.02,13.6,"B-V= +0.19, U-B= +0.08"
K Velorum,166,50.8,3.15,III,+4.61,+1.08,32.2,"B-V= +0.45, U-B= +0.10"
Bonner Durchmusterung +1°2267,225,68.9,,III-IV,+6.50,+2.31,10.4,"B-V= +0.41, U-B= +0.05"
Steph 762,63,19,,V,+9.55,+8.13,0.05,"B-V= +1.34, U-B= +1.26, R-I= +0.56"
Cordoba Durchmusterung -57°2585,76.6,23.5,,V,+9.52,+7.67,0.074,"B-V= +1.19, U-B= +1.00, R-I= +0.54"
Bonner Durchmusterung +1°2277,95.8,29.4,0.82,V,+8.15,+5.81,0.41,"B-V= +0.87, U-B= +0.61, R-I= +0.43"
Bonner Durchmusterung -5°2778,78.8,24.2,,V,+9.10,+7.19,0.12,"B-V= +1.16, U-B= +1.13, R-I= +0.44"
Bonner Durchmusterung +40°2197,79.2,24.3,,V,+7.66,+5.73,0.44,"B-V= +0.99, U-B= +0.76"
Luyten 140-9,34.2,10.5,,V,+9.49,+9.38,0.015,"B-V= +1.48, U-B= +1.18, R-I= +0.78"
Bonner Durchmusterung +81°297,74.9,23.0,,V,+9.30,+7.49,0.088,"B-V= +1.23, U-B= +1.21, R-I= +0.46"
Bonner Durchmusterung +76°351,65.4,20.1,0.7,V,+9.04,+7.53,0.084,"B-V= +1.19, U-B= +1.18, R-I= +0.46"
Bonner Durchmusterung +40°2208,105,32.2,,V,+9.86,+7.31,0.10,"B-V= +1.29, U-B= +1.17, R-I= +0.55"
Bonner Durchmusterung +14°2097,66.6,20.4,,,+7.84,+6.29,0.27,
Bonner Durchmusterung -8°2689,67,20,,V,+10.52,+8.97,0.02,"B-V= +1.43, U-B= +1.02, R-I= +0.72"
Bonner Durchmusterung -4°2639,76.8,23.5,,V,+9.74,+7.88,0.061,"B-V= +1.31, U-B= +1.30, R-I= +0.54"
Bonner Durchmusterung +6°2182,41.4,12.7,0.77,V,+7.21,+6.69,0.18,"B-V= +1.00, U-B= +0.90, R-I= +0.37"
23 Ursae Majoris,75.5,23.1,2.64,IV,+3.70,+1.88,15.5,"B-V= +0.33, U-B= +0.10, R-I= +0.18"
Bonner Durchmusterung +36°1970,44.1,13.5,,V,+10.19,+9.54,0.013,"B-V= +1.50, U-B= +1.26, R-I= +0.78"
LQ Hydrae,59.8,18.3,0.74,V,+7.82,+6.50,0.22,"B-V= +0.92, U-B= +0.54, R-I= +0.51"
24 Ursae Majoris,106,32.4,6.26,III-IV,+4.58,+2.03,13.4,"B-V= +0.77, U-B= +0.34"
Bonner Durchmusterung -20°2936,334,102,18.7,IV,+5.00,-0.05,91.4,"B-V= +1.02, U-B= +0.87, R-I= +0.44"
Luyten 678-39,29.3,8.98,,V,+10.91,+11.15,0.0030,"B-V= +1.57, U-B= +1.18, R-I= +1.00"
Ross 89,71.7,22.0,,V,+9.47,+7.76,0.068,"B-V= +1.28, U-B= +1.27, R-I= +0.52"
Luyten 390-5,31.0,9.49,,V-VI,+10.72,+10.84,0.0040,"B-V= +1.53, U-B= +1.17, R-I= +1.07"
Ross 85,37.0,11.4,,V,+10.38,+10.11,0.0079,"B-V= +1.50, U-B= +1.25, R-I= +0.92"
Eggen/Greenstein white dwarf 431,56,17,,wd,+14.90,+13.72,0.0003,"B-V= +0.30, U-B= -0.55"
Cordoba Durchmusterung -23°8646,48.5,14.9,1.34,IV,+4.92,+4.06,2.08,"B-V= +0.53, U-B= +0.01, R-I= +0.28"
Bonner Durchmusterung +43°1953,58.0,17.8,0.74,V,+8.15,+6.90,0.15,"B-V= +1.15, U-B= +1.15, R-I= +0.42"
Giclas 161-68,76,23,,wd,+16.41,+14.58,0.0001,"B-V= +0.56, U-B= -0.30"
Cordoba Durchmusterung -45°5378,30.0,9.19,,V,+10.10,+10.28,0.0067,"B-V= +1.53, U-B= +1.13, R-I= +0.94"
15 Leonis Minoris,60.1,18.4,1.62,Va,+5.09,+3.77,2.71,"B-V= +0.62, U-B= +0.10, R-I= +0.22"
Eggen/Greenstein white dwarf 251,74.3,22.8,,wd,+15.20,+13.41,0.00038,"B-V= +0.13, U-B= -0.70"
Bonner Durchmusterung -11°2741,38.5,11.8,,V,+10.04,+9.68,0.012,"B-V= +1.48, U-B= +1.18, R-I= +0.78"
Cape Photographic Durchmusterung -42°4101,36.37,11.15,0.72,V,+7.67,+7.43,0.0925,"B-V= +1.18, U-B= +1.12, R-I= +0.50"
Bonner Durchmusterung +3°2279,68.4,21.0,0.63,V,+8.86,+7.26,0.11,"B-V= +1.23, U-B= +1.21, R-I= +0.47"
Bonner Durchmusterung -2°3000,51.1,15.7,,V,+10.53,+9.56,0.013,"B-V= +1.52, U-B= +1.20, R-I= +0.98"
Bonner Durchmusterung +63°869,34.2,10.5,,V,+8.99,+8.88,0.024,"B-V= +1.43, U-B= +1.19, R-I= +0.73"
Cape Photographic Durchmusterung -40°4033,110,33.8,0.68,V,+8.99,+6.35,0.25,"B-V= +0.96, U-B= +0.73, R-I= +0.34"
19 Leonis Minoris,94.2,28.9,1.44,Va,+5.11,+2.81,6.55,"B-V= +0.46, U-B= +0.00"
Eggen/Greenstein white dwarf 69,79.2,24.3,0.0105,wd,+15.09,+13.16,0.00047,"B-V= +0.25, U-B= -0.54"
Cordoba Durchmusterung -45°5627,51.9,15.9,,V-VI,+11.27,+10.26,0.0069,"B-V= +1.55, U-B= +0.91, R-I= +1.19"
DH Leonis,106,32.4,,V,+8.01,+5.45,0.57,"B-V= +0.88, U-B= +0.43, R-I= +0.38"
20 Leonis Minoris,48.6,14.9,1.26,Va,+5.37,+4.50,1.37,"B-V= +0.66, U-B= +0.27"
Cordoba Durchmusterung -29°8019,52.3,16.0,,V-VI,+11.43,+10.40,0.0060,"B-V= +1.49, U-B= +1.10, R-I= +1.07"
Eggen/Greenstein white dwarf 252,70.9,21.7,,wd,+15.37,+13.68,0.00029,"B-V= +0.36, U-B= -0.49"
Bonner Durchmusterung +48°1829,48.6,14.9,,V,+10.08,+9.21,0.018,"B-V= +1.37, U-B= +1.13, R-I= +0.82"
Bonner Durchmusterung -14°3003,85.3,26.2,,V,+8.65,+6.56,0.21,"B-V= +1.02, U-B= +0.75, R-I= +0.36"
Bonner Durchmusterung +45°1791,90.5,27.7,,V,+9.08,+6.87,0.16,"B-V= +1.07, U-B= +0.98, R-I= +0.40"
Bonner Durchmusterung +3°2316,72.9,22.3,,V,+9.95,+8.20,0.046,"B-V= +1.39, U-B= +1.28, R-I= +0.64"
21 Leonis Minoris,91.2,27.9,1.31,V,+4.49,+2.26,10.9,"B-V= +0.18, U-B= +0.08"
Bonner Durchmusterung -13°3031,138,42.2,,V,+10.17,+7.05,0.13,"B-V= +1.32, U-B= +1.20, R-I= +0.59"
Cordoba Durchmusterung -36°6180,148,45.5,0.81,V-VI,+8.08,+4.79,1.06,"B-V= +0.60, U-B= +0.01, R-I= +0.22"
Groombridge 1618,15.89,4.873,0.605,V,+6.60,+8.16,0.0473,"B-V= +1.36, U-B= +1.28, R-I= +0.60"
Luyten 968-22,27.8,8.53,,V,+10.63,+10.98,0.0035,"B-V= +1.57, U-B= +1.20, R-I= +1.00"
Bonner Durchmusterung -3°2870,25.5,7.81,,V,+9.26,+9.80,0.010,"B-V= +1.48, U-B= +1.19, R-I= +0.92"
Bonner Durchmusterung -17°3088,55.7,17.1,0.65,V,+9.93,+8.77,0.027,"B-V= +1.48, U-B= +1.23, R-I= +0.71"
Bonner Durchmusterung +53°1395,74.5,22.8,0.69,V,+9.54,+7.74,0.070,"B-V= +1.10, U-B= +0.94, R-I= +0.47"
Cordoba Durchmusterung -32°7158,74.2,22.7,1.10,V,+6.38,+4.59,1.27,"B-V= +0.59, U-B= +0.09, R-I= +0.20"
Bonner Durchmusterung -6°3109,158,48.3,0.93,V,+7.21,+3.79,2.66,"B-V= +0.49, U-B= +0.05"
Bonner Durchmusterung +3°2338,118,36.1,0.85,V,+7.75,+4.96,0.90,"B-V= +0.60, U-B= -0.02"
Catalogue Astrographique +22°214-129,66.6,20.4,,V,+10.03,+8.48,0.035,"B-V= +1.36, U-B= +1.15, R-I= +0.76"
Bonner Durchmusterung +21°2165,169,51.9,,V,+6.06,+2.48,8.87,"B-V= +0.55, U-B= +0.12"
Luyten 190-21,36.2,11.1,,wd,+15.10,+14.87,0.000098,"B-V= +0.68, U-B= -0.12"
Luyten 824-28,44.8,13.7,,V,+10.99,+10.30,0.0066,"B-V= +1.47, U-B= +1.10, R-I= +1.05"
Bonner Durchmusterung +44°1973,67.3,20.6,,V,+6.63,+5.05,0.83,"B-V= +0.66, U-B= +0.15, R-I= +0.22"
Cordoba Durchmusterung -25°7916,71,22,,V,+7.94,+6.25,0.3,B-V= +0.94
AD Leonis,16.0,4.90,0.42,V,+9.40 (increasing to +9.00),+10.95 (increasing to +10.55),0.0036 (increasing to  0.0053),"B-V= +1.54, U-B= +1.08, R-I= +1.13"
40 Leonis,69.0,21.2,2.73,IV,+4.79,+3.17,4.72,"B-V= +0.45, U-B= +0.01"
Bonner Durchmusterung -14°3093,113,34.6,0.89,,,,,
Henry Draper 89744,127,39.0,2.14,V,+5.76,+2.81,6.57,"B-V= +0.53, U-B= +0.07"
Eggen/Greenstein white dwarf 350,53.1,16.3,,wd,+14.71,+13.65,0.00030,"B-V= +0.38, U-B= -0.51"
Bonner Durchmusterung +16°2116,92.9,28.5,,V,+7.30,+5.03,0.85,"B-V= +0.65, U-B= +0.15"
Bonner Durchmusterung +66°664,301,92.3,3.97,,+4.94,+0.12,78.2,"B-V= -0.06, U-B= -0.13"
Cordoba Durchmusterung -29°8316,72.1,22.1,,V,+6.94,+5.22,0.71,"B-V= +0.65, U-B= +0.39"
Bonner Durchmusterung -9°3063,89.0,27.3,,V,+9.98,+7.80,0.066,"B-V= +1.24, U-B= +1.17, R-I= +0.51"
Bonner Durchmusterung -9°3070,40.7,12.5,,V,+10.15,+9.67,0.012,"B-V= +1.49, U-B= +1.14, R-I= +0.86"
I Carinae,52.89,16.22,1.586,IV,+3.99,+2.94,5.817,"B-V= +0.35, U-B= -0.01"
Bonner Durchmusterung +83°297,70.1,21.5,0.88,V,+5.26,+3.60,3.18,"B-V= +0.37, U-B= -0.05"
Bonner Durchmusterung -5°3071,105,32.1,,V,+7.89,+5.35,0.63,"B-V= +0.80, U-B= +0.46"
McCook & Sion White Dwarf 1026+2,59.3,18.2,,wd,+13.83,+12.53,0.00085,
Bonner Durchmusterung +1°2447,23.6,7.23,,V,+9.65,+10.36,0.0063,"B-V= +1.52, U-B= +1.20, R-I= +0.96"
Bonner Durchmusterung +56°1458,45,14,,V,+8.69,+7.98,0.06,"B-V= +1.33, U-B= +1.24, R-I= +0.55"
36 Ursae Majoris,41.91,12.85,1.105,V,+4.81,+4.27,1.713,"B-V= +0.52, U-B= -0.01, R-I= +0.16"
Bonner Durchmusterung +60°1266,72.8,22.3,,V,+8.60,+6.86,0.16,"B-V= +1.15, R-I= +0.43"
Bonner Durchmusterung +85°161,68.6,21.0,0.82,V,+7.29,+5.68,0.47,"B-V= +0.82, U-B= +0.51"
Cincinatti obs. 20 582,51.1,15.7,,V,+8.88,+7.90,0.060,"B-V= +1.33, U-B= +1.28, R-I= +0.59"
Cape Photographic Durchmusterung -53°3909,71.3,21.9,1.12,V,+4.88,+3.19,4.63,"B-V= +0.50, U-B= -0.02, R-I= +0.30"
Luyten 1113-55,44.7,13.7,,V,+12.60,+11.92,0.0015,"B-V= +1.60, U-B= +1.12, R-I= +1.19"
Bonner Durchmusterung -11°2918,80.2,24.6,1.06,V,+5.69,+3.74,2.79,"B-V= +0.52, U-B= +0.00, R-I= +0.18"
Luyten 681-8,47.3,14.5,,wd,+16.46,+15.65,0.000048,
Luyten 465-43,53.2,16.3,,V,+9.97,+8.90,0.024,"B-V= +1.48, U-B= +1.17, R-I= +0.80"
Cordoba Durchmusterung -28°8394,70.4,21.6,,V,+7.72,+6.05,0.33,"B-V= +0.89, U-B= +0.56"
Cordoba Durchmusterung -32°7598,94.3,28.9,,V,+8.30,+6.00,0.35,"B-V= +0.95, U-B= +0.72, R-I= +0.37"
Cordoba Durchmusterung -23°9524,65.9,20.2,,V,+9.39,+7.86,0.062,"B-V= +1.16, U-B= +1.00, R-I= +0.46"
Bonner Durchmusterung +22°2271,109,33.4,,,+10.14,+7.52,0.086,"B-V= +1.22, U-B= +1.18, R-I= +0.48"
Luyten Palomar 731-58,14.8,4.52,,V,+15.60,+17.32,0.000010,"B-V= +2.10, R-I= +1.99"
Wolf 358,22.5,6.89,,V,+11.64,+12.45,0.00091,"B-V= +1.67, U-B= +1.16, R-I= +1.25"
Bonner Durchmusterung +0°2709,157,48.2,,V,+10.20,+6.78,0.17,"B-V= +0.90, R-I= +0.37"
Gliese 403,39,12,,V,+12.67,+12.28,0.001,"B-V= +1.65, U-B= +1.25, R-I= +1.16"
Bonner Durchmusterung -19°3122,135,41.3,0.92,V,+7.06,+3.99,2.22,"B-V= +0.64, U-B= +0.19"
Bonner Durchmusterung +76°404,72.6,22.3,,V,+9.57,+7.83,0.064,"B-V= +1.10, U-B= +1.02, R-I= +0.48"
Bonner Durchmusterung -19°3125,102,31.3,1.08,V,+5.23,+2.75,6.93,"B-V= +0.46, U-B= +0.06, R-I= +0.27"
Cape Photographic Durchmusterung -43°4994,190,58.2,0.28,IV-V,+8.09,+4.26,1.72,"B-V= +0.52, U-B= -0.09, R-I= +0.32"
Cape Photographic Durchmusterung -58°2834,96.8,29.7,8.61,III,+3.77,+1.41,23.7,"B-V= +0.95, U-B= +0.65, R-I= +0.46"
Cordoba Durchmusterung -30°8807,256,78.6,0.81,V,+8.35,+3.87,2.47,"B-V= +0.60, U-B= +0.02, R-I= +0.22"
Bonner Durchmusterung +8°2434,57.2,17.6,,V,+7.34,+6.12,0.31,"B-V= +0.92, U-B= +0.66"
Bonner Durchmusterung +70°639,75.1,23.0,,V,+10.28,+8.47,0.036,"B-V= +1.40, U-B= +1.35, R-I= +0.65"
Eggen/Greenstein white dwarf 74,39.2,12.0,0.0084,wd,+14.31,+13.91,0.00024,"B-V= +0.32, U-B= -0.52"
Bonner Durchmusterung +49°2004,98.1,30.1,,V,+10.52,+8.13,0.049,"B-V= +1.37, U-B= +1.28, R-I= +0.58"
47 Ursae Majoris,45.91,14.08,1.256,V,+5.03,+4.29,1.679,"B-V= +0.61, U-B= +0.13"
Catalogue Astrographique +23°468-46,21.6,6.62,,V,+10.03,+10.93,0.0037,"B-V= +1.54, U-B= +1.22, R-I= +1.04"
Bonner Durchmusterung +15°2276,68,21,,V?,+7.66,+6.07,0.3,"B-V= +0.94, U-B= +0.48"
Beta Ursae Majoris,79.4,24.3,2.88,V,+2.37,+0.43,58.5,"B-V= -0.02, U-B= +0.01"
Bonner Durchmusterung +22°2302,38.0,11.7,0.6,V,+9.57,+9.24,0.018,"B-V= +1.48, U-B= +1.19, R-I= +0.77"
Cape Photographic Durchmusterung -61°2067,370,113,13.6,III,+4.61,-0.66,160,"B-V= +1.03, U-B= +0.82, R-I= +0.33"
Cordoba Durchmusterung -29°8875,85.5,26.2,1.21,V,+6.52,+4.43,1.47,"B-V= +0.60, U-B= +0.08, R-I= +0.21"
Cordoba Durchmusterung -27°7881,87.7,26.9,,V,+9.32,+7.18,0.12,"B-V= +1.25, U-B= +1.18, R-I= +0.54"
Wolf 363,99.7,30.6,,V,+7.69,+5.27,0.68,"B-V= +0.78, U-B= +0.40"
Cordoba Durchmusterung -23°9765,34.9,10.7,,V-VI,+10.44,+10.30,0.0066,"B-V= +1.53, U-B= +1.10, R-I= +0.96"
Cordoba Durchmusterung -41°6367,199,61.0,,,+9.74,+5.81,0.41,"B-V= +0.78, U-B= +0.35"
Steph 922,126,38.7,,V,+10.54,+7.60,0.079,"B-V= +1.40, U-B= +1.27, R-I= +0.64"
Bonner Durchmusterung -10°3216,68.2,20.9,0.71,V,+9.22,+7.62,0.078,"B-V= +1.10, U-B= +0.92, R-I= +0.48"
Bonner Durchmusterung -14°3277,74.1,22.7,0.71,V,+9.06,+7.27,0.11,"B-V= +1.21, U-B= +1.08, R-I= +0.54"
Giclas 119-62,40,12,,V,+12.38,+11.95,0.001,R-I= +1.19
Beta Crateris,266,81.6,3.94,III,+4.48,-0.08,93.7,"B-V= +0.03, U-B= +0.06, R-I= +0.01"
Bonner Durchmusterung -25°8519,70.6,21.6,,V,+7.05,+5.38,0.62,"B-V= +0.77, U-B= +0.38"
Bonner Durchmusterung +36°2162,70.8,21.7,1.03,V,+6.40,+4.72,1.13,"B-V= +0.61, U-B= +0.10"
Bonner Durchmusterung +5°2463,58.5,17.9,0.73,V,+8.70,+7.43,0.093,"B-V= +1.18, U-B= +1.12, R-I= +0.46"
Delta Leonis,57.7,17.7,3.04,V,+2.56,+1.32,25.8,"B-V= +0.12, U-B= +0.12"
Bonner Durchmusterung +26°2184,69.5,21.3,,V,+7.76,+6.12,0.31,"B-V= +0.84, U-B= +0.44"
Bonner Durchmusterung -13°3333,57.4,17.6,,V,+9.98,+8.76,0.027,"B-V= +1.40, U-B= +1.20, R-I= +0.66"
Cordoba Durchmusterung -27°7978,57.3,17.6,,V,+9.78,+8.56,0.033,"B-V= +1.40, U-B= +1.21, R-I= +0.64"
Bonner Durchmusterung -1°2505,96.0,29.4,,V,+9.78,+7.43,0.093,"B-V= +1.17, U-B= +1.18, R-I= +0.44"
Bonner Durchmusterung -4°3049,71.7,22.0,0.85,V,+7.29,+5.58,0.51,"B-V= +0.73, U-B= +0.28, R-I= +0.28"
SZ Ursae Majoris,29.66,9.095,,V,+9.31,+9.52,0.0136,"B-V= +1.41, U-B= +1.08, R-I= +0.75"
Bonner Durchmusterung +47°1863,80.8,24.8,,V,+9.80,+7.83,0.064,R-I= +0.53
Gliese & Jahreiss 2085,69.2,21.2,,V,+11.18,+9.55,0.013,"B-V= +1.48, U-B= +1.14, R-I= +0.82"
Ross 627,44.0,13.5,,wd,+14.24,+13.59,0.00032,"B-V= +0.28, U-B= -0.53"
Catalogue Astrographique +40°477-39,74,23,,V,+10.33,+8.55,0.03,"B-V= +1.36, U-B= +1.25, R-I= +0.64"
Cape Photographic Durchmusterung -63°1893,89.5,27.4,,V,+5.17,+2.98,5.59,"B-V= +0.50, U-B= +0.02"
Bonner Durchmusterung +4°2470,100,30.7,,V,+10.65,+8.21,0.045,"B-V= +1.42, R-I= +0.69"
Catalogue Astrographique -9°1823-108,84,26,,V-VI,+12.40,+10.34,0.006,"B-V= +1.46, U-B= +1.02, R-I= +0.84"
Bonner Durchmusterung +49°2059,292,89.6,,,+7.87,+3.11,4.97,
McCook & Sion White Dwarf 1126+185,29,8.8,,wd,+13.79,+14.07,0.0002,
Cordoba Durchmusterung -50°6060,186,57.0,0.85,V,+7.39,+3.61,3.15,"B-V= +0.41, U-B= -0.08"
Cape Photographic Durchmusterung -56°4554,72.5,22.2,,V,+8.34,+6.60,0.20,"B-V= +1.06, U-B= +0.99, R-I= +0.37"
Bonner Durchmusterung +63°965,76.3,23.4,,V,+10.01,+8.17,0.047,"B-V= +1.33, U-B= +1.26, R-I= +0.61"
Bonner Durchmusterung +23°2359,52.8,16.2,,V,+10.31,+9.27,0.017,"B-V= +1.48, U-B= +1.22, R-I= +0.81"
Luyten 396-7,34.2,10.5,,V-VI,+11.55,+11.45,0.0023,"B-V= +1.54, U-B= +0.97, R-I= +1.16"
