star_name,distance_l,distance_par,diameter,class,mag,mag_a,visual_lum,color
Cordoba Durchmusterung -48°176,48.7,14.9,,IV,+5.79,+4.92,0.94,B-V= +0.64
Bonner Durchmusterung +4°123,24.33,7.460,0.882,V,+5.74,+6.38,0.245,B-V= +0.88
64 Piscis,78.0,23.9,1.85,V,+5.08,+3.18,4.64,B-V= +0.51
van Maanen's Star,14.13,4.331,0.01,wd,+12.38,+14.20,0.000182,B-V= +0.55
Cordoba Durchmusterung -23°315,61.4,18.8,0.83,V,+7.15,+5.78,0.42,B-V= +0.78
Phi(2) Ceti,50.4,15.5,1.13,IV-V,+5.18,+4.24,1.76,B-V= +0.50
Cordoba Durchmusterung -28°258,163,50,,V?,+9.62,+6.12,0.3,B-V= +0.89
Bonner Durchmusterung +17°112 ,71.4,21.9,0.67,V,+9.23,+7.53,0.084,B-V= +1.21
Bonner Durchmusterung +60°124,60.6,18.6,2.39,V,+4.80,+3.45,3.62,B-V= +0.53
Cordoba Durchmusterung -31°325 ,45.9,14.1,0.79,V,+7.15,+6.41,0.24,B-V= +0.93
Bonner Durchmusterung +23°125,96.2,29.5,0.86,V?,+7.38,+5.03,0.85,B-V= +0.65
Luyten 796-10,76,23,,wd,+15.25,+13.42,0.0004,B-V= +0.35
Cordoba Durchmusterung -30°277 ,99.5,30.5,,V,+9.47,+7.05,0.13,B-V= +1.18
Bonner Durchmusterung +68°60 ,78.7,24.1,,V,+9.12,+7.21,0.11,B-V= +1.03
Bonner Durchmusterung -2°129 ,47,14,,V?,+9.46,+8.69,0.03,B-V= +0.86
Luyten 123-59,63.1,19.4,0.68,V,+9.50,+8.06,0.052,B-V= +1.30
Cordoba Durchmusterung -26°322,56,17,,V?,+9.87,+8.68,0.03,B-V= +0.50
Bonner Durchmusterung +17°135 ,499,153,0.86,,+7.46,+1.54,21,B-V= +1.07
Cordoba Durchmusterung -27°323,65,20,,V?,+10.11,+8.60,0.03,B-V= +0.76
Giclas 243-50,35.3,10.8,,V,+10.83,+10.66,0.0047,B-V= +1.57
Bonner Durchmusterung +70°68b,28.2,8.66,,V,+10.04,+10.35,0.0063,B-V= +1.46
Bonner Durchmusterung +81°27,145,44.3,,V,+8.45,+5.22,0.71,B-V= +0.60
Cordoba Durchmusterung -26°334,720,221,,V,+9.75,+3.03,5.3,B-V= +0.33
Wolf 46,29.0,8.88,,V,+9.56,+9.82,0.010,B-V= +1.50
Bonner Durchmusterung -10°216 ,112,34,,V,+10.50,+7.81,0.07,B-V= +1.25
